Rank,Local government,Garbage,Recyclables,Organics*,Glass,Diversion Rate
1,Bass Coast Shire Council,Y,Y,Y,,75.82%
2,Wodonga City Council,Y,Y,Y,,69.66%
3,Strathbogie Shire Council,Y,Y,Y,,68.65%
4,Indigo Shire Council,Y,Y,Y,,64.97%
5,Corangamite Shire Council,Y,Y,Y,,62.72%
6,Macedon Ranges Shire Council,Y,Y,Y,Y,60.46%
7,Warrnambool City Council,Y,Y,Y,Y,60.40%
8,Benalla Rural City Council,Y,Y,Y,,58.70%
9,Wangaratta Rural City Council,Y,Y,Y,,58.43%
10,Manningham City Council,Y,Y,Y,,57.13%
11,Moyne Shire Council,Y,Y,Y,Y,56.50%
-11,Nillumbik Shire Council,Y,Y,Y,,56.45%
13,Moira Shire Council,Y,Y,Y,,56.23%
14,Bayside City Council,Y,Y,Y,,55.16%
15,Frankston City Council,Y,Y,Y,,54.46%
16,Maroondah City Council,Y,Y,Y,,53.94%
17,Knox City Council,Y,Y,Y,,53.18%
-17,Surf Coast Shire Council,Y,Y,Y,,53.15%
19,Baw Baw Shire Council,Y,Y,Y,,52.63%
20,Greater Shepparton City Council,Y,Y,Y,,51.83%
21,Greater Geelong City Council,Y,Y,Y,,51.40%
22,Whitehorse City Council,Y,Y,Y,,51.21%
23,East Gippsland Shire Council,Y,Y,Y,,51.08%
-23,Banyule City Council,Y,Y,Y,,51.07%
25,South Gippsland Shire Council,Y,Y,Y,,50.51%
26,Mornington Peninsula Shire Council,Y,Y,Y,,50.45%
27,Colac Otway Shire Council,Y,Y,Y,,49.86%
28,Yarra Ranges Shire Council,Y,Y,Y,,49.40%
29,Monash City Council,Y,Y,Y,,49.30%
30,Darebin City Council,Y,Y,Y,,49.11%
31,Kingston City Council,Y,Y,Y,,48.48%
32,Latrobe City Council,Y,Y,Y,,47.92%
33,Boroondara City Council,Y,Y,Y,,47.65%
34,Casey City Council,Y,Y,Y,,47.17%
35,Greater Bendigo City Council,Y,Y,Y,,46.84%
36,Greater Dandenong City Council,Y,Y,Y,,46.09%
37,Moreland City Council,Y,Y,Y,,45.80%
38,Glen Eira City Council,Y,Y,Y,,45.30%
39,Hobsons Bay City Council,Y,Y,Y,Y,44.70%
40,Campaspe Shire Council,Y,Y,Y,,44.32%
41,Central Goldfields Shire Council,Y,Y,Y,,43.50%
-41,Queenscliffe Borough Council,Y,Y,Y,,43.50%
43,Ballarat City Council,Y,Y,Y,,42.76%
44,Alpine Shire Council,Y,Y,,,41.98%
45,Southern Grampians Shire Council,Y,Y,Y,,41.25%
46,Moonee Valley City Council,Y,Y,Y,,40.23%
47,Whittlesea City Council,Y,Y,Y,,38.54%
48,Cardinia Shire Council,Y,Y,Y,,38.31%
49,Melton Shire Council,Y,Y,Y,,37.23%
50,Stonnington City Council,Y,Y,Y,,36.51%
51,Brimbank City Council,Y,Y,Y,,36.13%
52,Wyndham City Council,Y,Y,Y,,35.80%
53,Gannawarra Shire Council,Y,Y,Y,,34.12%
54,Hume City Council,Y,Y,Y,,33.77%
55,Maribyrnong City Council,Y,Y,Y,,33.01%
56,Yarra City Council,Y,Y,,,32.87%
-56,Wellington Shire Council,Y,Y,,,32.86%
58,Mount Alexander Shire Council,Y,Y,,,32.68%
59,Moorabool Shire Council,Y,Y,Y,,29.72%
60,Northern Grampians Shire Council,Y,Y,,,29.43%
61,Mitchell Shire Council,Y,Y,,,27.21%
62,Towong Shire Council,Y,Y,,,27.12%
63,Swan Hill Rural City Council,Y,Y,Y,,26.81%
64,Mansfield Shire Council,Y,Y,,,26.38%
65,Buloke Shire Council,Y,Y,,,25.33%
66,Ararat Rural City Council,Y,Y,,,25.17%
67,Port Phillip City Council,Y,Y,,,24.59%
68,Murrindindi Shire Council,Y,Y,,,24.43%
69,Loddon Shire Council,Y,Y,,,23.75%
70,Glenelg Shire Council,Y,Y,,,23.64%
71,Golden Plains Shire Council,Y,Y,,,22.46%
72,Hindmarsh Shire Council,Y,Y,,,22.43%
73,Horsham Rural City Council,Y,Y,,,20.69%
74,Pyrenees Shire Council,Y,Y,Y,,20.39%
75,Mildura Rural City Council,Y,Y,,,19.31%
76,Hepburn Shire Council,Y,Y,,,16.39%
77,West Wimmera Shire Council,Y,Y,,,15.89%
78,Melbourne City Council,Y,Y,,,15.03%
-78,Yarriambiack Shire Council,Y,Y,,,14.99%
