Rank,Local_government,Garbage,Recyclables,Organics,Glass,Diversion_Rate
1,Bass Coast Shire Council,Y,Y,Y,N,75.80%
2,Wodonga City Council,Y,Y,Y,N,69.70%
3,Strathbogie Shire Council,Y,Y,Y,N,68.60%
4,Indigo Shire Council,Y,Y,Y,N,65.00%
5,Corangamite Shire Council,Y,Y,Y,N,62.70%
6,Macedon Ranges Shire Council,Y,Y,Y,Y,60.50%
7,Warrnambool City Council,Y,Y,Y,Y,60.40%
8,Benalla Rural City Council,Y,Y,Y,N,58.70%
9,Wangaratta Rural City Council,Y,Y,Y,N,58.40%
10,Manningham City Council,Y,Y,Y,N,57.10%
11,Moyne Shire Council,Y,Y,Y,Y,56.50%
-11,Nillumbik Shire Council,Y,Y,Y,N,56.50%
13,Moira Shire Council,Y,Y,Y,N,56.20%
14,Bayside City Council,Y,Y,Y,N,55.20%
15,Frankston City Council,Y,Y,Y,N,54.50%
16,Maroondah City Council,Y,Y,Y,N,53.90%
17,Knox City Council,Y,Y,Y,N,53.20%
-17,Surf Coast Shire Council,Y,Y,Y,N,53.20%
19,Baw Baw Shire Council,Y,Y,Y,N,52.60%
20,Greater Shepparton City Council,Y,Y,Y,N,51.80%
21,Greater Geelong City Council,Y,Y,Y,N,51.40%
22,Whitehorse City Council,Y,Y,Y,N,51.20%
23,East Gippsland Shire Council,Y,Y,Y,N,51.10%
-23,Banyule City Council,Y,Y,Y,N,51.10%
25,South Gippsland Shire Council,Y,Y,Y,N,50.50%
26,Mornington Peninsula Shire Council,Y,Y,Y,N,50.40%
27,Colac Otway Shire Council,Y,Y,Y,N,49.90%
28,Yarra Ranges Shire Council,Y,Y,Y,N,49.40%
29,Monash City Council,Y,Y,Y,N,49.30%
30,Darebin City Council,Y,Y,Y,N,49.10%
31,Kingston City Council,Y,Y,Y,N,48.50%
32,Latrobe City Council,Y,Y,Y,N,47.90%
33,Boroondara City Council,Y,Y,Y,N,47.70%
34,Casey City Council,Y,Y,Y,N,47.20%
35,Greater Bendigo City Council,Y,Y,Y,N,46.80%
36,Greater Dandenong City Council,Y,Y,Y,N,46.10%
37,Moreland City Council,Y,Y,Y,N,45.80%
38,Glen Eira City Council,Y,Y,Y,N,45.30%
39,Hobsons Bay City Council,Y,Y,Y,Y,44.70%
40,Campaspe Shire Council,Y,Y,Y,N,44.30%
41,Central Goldfields Shire Council,Y,Y,Y,N,43.50%
-41,Queenscliffe Borough Council,Y,Y,Y,N,43.50%
43,Ballarat City Council,Y,Y,Y,N,42.80%
44,Alpine Shire Council,Y,Y,N,N,42.00%
45,Southern Grampians Shire Council,Y,Y,Y,N,41.20%
46,Moonee Valley City Council,Y,Y,Y,N,40.20%
47,Whittlesea City Council,Y,Y,Y,N,38.50%
48,Cardinia Shire Council,Y,Y,Y,N,38.30%
49,Melton Shire Council,Y,Y,Y,N,37.20%
50,Stonnington City Council,Y,Y,Y,N,36.50%
51,Brimbank City Council,Y,Y,Y,N,36.10%
52,Wyndham City Council,Y,Y,Y,N,35.80%
53,Gannawarra Shire Council,Y,Y,Y,N,34.10%
54,Hume City Council,Y,Y,Y,N,33.80%
55,Maribyrnong City Council,Y,Y,Y,N,33.00%
56,Yarra City Council,Y,Y,N,N,32.90%
-56,Wellington Shire Council,Y,Y,N,N,32.90%
58,Mount Alexander Shire Council,Y,Y,N,N,32.70%
59,Moorabool Shire Council,Y,Y,Y,N,29.70%
60,Northern Grampians Shire Council,Y,Y,N,N,29.40%
61,Mitchell Shire Council,Y,Y,N,N,27.20%
62,Towong Shire Council,Y,Y,N,N,27.10%
63,Swan Hill Rural City Council,Y,Y,Y,N,26.80%
64,Mansfield Shire Council,Y,Y,N,N,26.40%
65,Buloke Shire Council,Y,Y,N,N,25.30%
66,Ararat Rural City Council,Y,Y,N,N,25.20%
67,Port Phillip City Council,Y,Y,N,N,24.60%
68,Murrindindi Shire Council,Y,Y,N,N,24.40%
69,Loddon Shire Council,Y,Y,N,N,23.80%
70,Glenelg Shire Council,Y,Y,N,N,23.60%
71,Golden Plains Shire Council,Y,Y,N,N,22.50%
72,Hindmarsh Shire Council,Y,Y,N,N,22.40%
73,Horsham Rural City Council,Y,Y,N,N,20.70%
74,Pyrenees Shire Council,Y,Y,Y,N,20.40%
75,Mildura Rural City Council,Y,Y,N,N,19.30%
76,Hepburn Shire Council,Y,Y,N,N,16.40%
77,West Wimmera Shire Council,Y,Y,N,N,15.90%
78,Melbourne City Council,Y,Y,N,N,15.00%
-78,Yarriambiack Shire Council,Y,Y,N,N,15.00%
